datetime,pickups,returns,net_flow,station_id,station_name,date,hour,minute,op_date,daily_cumulative
2026-06-19 00:00:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-19,0,0,2026-06-18,5.0
2026-06-19 00:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,0,15,2026-06-18,5.0
2026-06-19 00:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,0,30,2026-06-18,5.0
2026-06-19 00:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,0,45,2026-06-18,5.0
2026-06-19 01:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,1,0,2026-06-18,5.0
2026-06-19 01:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,1,15,2026-06-18,5.0
2026-06-19 01:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,1,30,2026-06-18,5.0
2026-06-19 01:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,1,45,2026-06-18,5.0
2026-06-19 02:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-19,2,0,2026-06-18,4.0
2026-06-19 02:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,2,15,2026-06-18,4.0
2026-06-19 02:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,2,30,2026-06-18,4.0
2026-06-19 02:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,2,45,2026-06-18,4.0
2026-06-19 03:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,3,0,2026-06-18,4.0
2026-06-19 03:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,3,15,2026-06-18,4.0
2026-06-19 03:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,3,30,2026-06-18,4.0
2026-06-19 03:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,3,45,2026-06-18,4.0
2026-06-19 04:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,4,0,2026-06-18,4.0
2026-06-19 04:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,4,15,2026-06-18,4.0
2026-06-19 04:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,4,30,2026-06-18,4.0
2026-06-19 04:45:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-19,4,45,2026-06-18,3.0
2026-06-19 05:00:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-19,5,0,2026-06-19,1.0
2026-06-19 05:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,5,15,2026-06-19,1.0
2026-06-19 05:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,5,30,2026-06-19,1.0
2026-06-19 05:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,5,45,2026-06-19,1.0
2026-06-19 06:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,6,0,2026-06-19,1.0
2026-06-19 06:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,6,15,2026-06-19,1.0
2026-06-19 06:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,6,30,2026-06-19,1.0
2026-06-19 06:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,6,45,2026-06-19,1.0
2026-06-19 07:00:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-19,7,0,2026-06-19,-1.0
2026-06-19 07:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,7,15,2026-06-19,-1.0
2026-06-19 07:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,7,30,2026-06-19,-1.0
2026-06-19 07:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,7,45,2026-06-19,-1.0
2026-06-19 08:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-19,8,0,2026-06-19,-2.0
2026-06-19 08:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,8,15,2026-06-19,-2.0
2026-06-19 08:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,8,30,2026-06-19,-2.0
2026-06-19 08:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,8,45,2026-06-19,-2.0
2026-06-19 09:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,9,0,2026-06-19,-2.0
2026-06-19 09:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,9,15,2026-06-19,-2.0
2026-06-19 09:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,9,30,2026-06-19,-2.0
2026-06-19 09:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,9,45,2026-06-19,-2.0
2026-06-19 10:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,10,0,2026-06-19,-2.0
2026-06-19 10:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,10,15,2026-06-19,-2.0
2026-06-19 10:30:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-19,10,30,2026-06-19,-2.0
2026-06-19 10:45:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-19,10,45,2026-06-19,-2.0
2026-06-19 11:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,11,0,2026-06-19,-2.0
2026-06-19 11:15:00+00:00,3.0,0.0,-3.0,JC055,McGinley Square,2026-06-19,11,15,2026-06-19,-5.0
2026-06-19 11:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-19,11,30,2026-06-19,-6.0
2026-06-19 11:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,11,45,2026-06-19,-6.0
2026-06-19 12:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-19,12,0,2026-06-19,-7.0
2026-06-19 12:15:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-19,12,15,2026-06-19,-9.0
2026-06-19 12:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,12,30,2026-06-19,-9.0
2026-06-19 12:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,12,45,2026-06-19,-9.0
2026-06-19 13:00:00+00:00,0.0,2.0,2.0,JC055,McGinley Square,2026-06-19,13,0,2026-06-19,-7.0
2026-06-19 13:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,13,15,2026-06-19,-7.0
2026-06-19 13:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-19,13,30,2026-06-19,-8.0
2026-06-19 13:45:00+00:00,3.0,0.0,-3.0,JC055,McGinley Square,2026-06-19,13,45,2026-06-19,-11.0
2026-06-19 14:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,14,0,2026-06-19,-11.0
2026-06-19 14:15:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-19,14,15,2026-06-19,-12.0
2026-06-19 14:30:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-19,14,30,2026-06-19,-14.0
2026-06-19 14:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,14,45,2026-06-19,-14.0
2026-06-19 15:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,15,0,2026-06-19,-14.0
2026-06-19 15:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,15,15,2026-06-19,-14.0
2026-06-19 15:30:00+00:00,1.0,2.0,1.0,JC055,McGinley Square,2026-06-19,15,30,2026-06-19,-13.0
2026-06-19 15:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,15,45,2026-06-19,-13.0
2026-06-19 16:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,16,0,2026-06-19,-13.0
2026-06-19 16:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,16,15,2026-06-19,-13.0
2026-06-19 16:30:00+00:00,1.0,2.0,1.0,JC055,McGinley Square,2026-06-19,16,30,2026-06-19,-12.0
2026-06-19 16:45:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-19,16,45,2026-06-19,-12.0
2026-06-19 17:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,17,0,2026-06-19,-12.0
2026-06-19 17:15:00+00:00,2.0,1.0,-1.0,JC055,McGinley Square,2026-06-19,17,15,2026-06-19,-13.0
2026-06-19 17:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-19,17,30,2026-06-19,-14.0
2026-06-19 17:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,17,45,2026-06-19,-14.0
2026-06-19 18:00:00+00:00,0.0,2.0,2.0,JC055,McGinley Square,2026-06-19,18,0,2026-06-19,-12.0
2026-06-19 18:15:00+00:00,0.0,3.0,3.0,JC055,McGinley Square,2026-06-19,18,15,2026-06-19,-9.0
2026-06-19 18:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-19,18,30,2026-06-19,-10.0
2026-06-19 18:45:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-19,18,45,2026-06-19,-12.0
2026-06-19 19:00:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-19,19,0,2026-06-19,-12.0
2026-06-19 19:15:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-19,19,15,2026-06-19,-12.0
2026-06-19 19:30:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-19,19,30,2026-06-19,-11.0
2026-06-19 19:45:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-19,19,45,2026-06-19,-12.0
2026-06-19 20:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,20,0,2026-06-19,-12.0
2026-06-19 20:15:00+00:00,1.0,2.0,1.0,JC055,McGinley Square,2026-06-19,20,15,2026-06-19,-11.0
2026-06-19 20:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,20,30,2026-06-19,-11.0
2026-06-19 20:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,20,45,2026-06-19,-11.0
2026-06-19 21:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,21,0,2026-06-19,-11.0
2026-06-19 21:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,21,15,2026-06-19,-11.0
2026-06-19 21:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-19,21,30,2026-06-19,-12.0
2026-06-19 21:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,21,45,2026-06-19,-12.0
2026-06-19 22:00:00+00:00,2.0,2.0,0.0,JC055,McGinley Square,2026-06-19,22,0,2026-06-19,-12.0
2026-06-19 22:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,22,15,2026-06-19,-12.0
2026-06-19 22:30:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-19,22,30,2026-06-19,-14.0
2026-06-19 22:45:00+00:00,0.0,2.0,2.0,JC055,McGinley Square,2026-06-19,22,45,2026-06-19,-12.0
2026-06-19 23:00:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-19,23,0,2026-06-19,-12.0
2026-06-19 23:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,23,15,2026-06-19,-12.0
2026-06-19 23:30:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-19,23,30,2026-06-19,-11.0
2026-06-19 23:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-19,23,45,2026-06-19,-11.0
2026-06-20 00:00:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-20,0,0,2026-06-19,-10.0
2026-06-20 00:15:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-20,0,15,2026-06-19,-12.0
2026-06-20 00:30:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-20,0,30,2026-06-19,-11.0
2026-06-20 00:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,0,45,2026-06-19,-11.0
2026-06-20 01:00:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-20,1,0,2026-06-19,-10.0
2026-06-20 01:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,1,15,2026-06-19,-10.0
2026-06-20 01:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,1,30,2026-06-19,-10.0
2026-06-20 01:45:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-20,1,45,2026-06-19,-9.0
2026-06-20 02:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,2,0,2026-06-19,-9.0
2026-06-20 02:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,2,15,2026-06-19,-9.0
2026-06-20 02:30:00+00:00,0.0,2.0,2.0,JC055,McGinley Square,2026-06-20,2,30,2026-06-19,-7.0
2026-06-20 02:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,2,45,2026-06-19,-7.0
2026-06-20 03:00:00+00:00,0.0,2.0,2.0,JC055,McGinley Square,2026-06-20,3,0,2026-06-19,-5.0
2026-06-20 03:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,3,15,2026-06-19,-5.0
2026-06-20 03:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,3,30,2026-06-19,-5.0
2026-06-20 03:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,3,45,2026-06-19,-5.0
2026-06-20 04:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-20,4,0,2026-06-19,-6.0
2026-06-20 04:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,4,15,2026-06-19,-6.0
2026-06-20 04:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,4,30,2026-06-19,-6.0
2026-06-20 04:45:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-20,4,45,2026-06-19,-7.0
2026-06-20 05:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,5,0,2026-06-20,0.0
2026-06-20 05:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,5,15,2026-06-20,0.0
2026-06-20 05:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,5,30,2026-06-20,0.0
2026-06-20 05:45:00+00:00,0.0,2.0,2.0,JC055,McGinley Square,2026-06-20,5,45,2026-06-20,2.0
2026-06-20 06:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,6,0,2026-06-20,2.0
2026-06-20 06:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,6,15,2026-06-20,2.0
2026-06-20 06:30:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-20,6,30,2026-06-20,3.0
2026-06-20 06:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,6,45,2026-06-20,3.0
2026-06-20 07:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,7,0,2026-06-20,3.0
2026-06-20 07:15:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-20,7,15,2026-06-20,2.0
2026-06-20 07:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,7,30,2026-06-20,2.0
2026-06-20 07:45:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-20,7,45,2026-06-20,1.0
2026-06-20 08:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-20,8,0,2026-06-20,0.0
2026-06-20 08:15:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-20,8,15,2026-06-20,1.0
2026-06-20 08:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-20,8,30,2026-06-20,0.0
2026-06-20 08:45:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-20,8,45,2026-06-20,-1.0
2026-06-20 09:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-20,9,0,2026-06-20,-2.0
2026-06-20 09:15:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-20,9,15,2026-06-20,-4.0
2026-06-20 09:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,9,30,2026-06-20,-4.0
2026-06-20 09:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,9,45,2026-06-20,-4.0
2026-06-20 10:00:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-20,10,0,2026-06-20,-4.0
2026-06-20 10:15:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-20,10,15,2026-06-20,-6.0
2026-06-20 10:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,10,30,2026-06-20,-6.0
2026-06-20 10:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,10,45,2026-06-20,-6.0
2026-06-20 11:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,11,0,2026-06-20,-6.0
2026-06-20 11:15:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-20,11,15,2026-06-20,-5.0
2026-06-20 11:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-20,11,30,2026-06-20,-6.0
2026-06-20 11:45:00+00:00,1.0,2.0,1.0,JC055,McGinley Square,2026-06-20,11,45,2026-06-20,-5.0
2026-06-20 12:00:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-20,12,0,2026-06-20,-5.0
2026-06-20 12:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,12,15,2026-06-20,-5.0
2026-06-20 12:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-20,12,30,2026-06-20,-6.0
2026-06-20 12:45:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-20,12,45,2026-06-20,-6.0
2026-06-20 13:00:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-20,13,0,2026-06-20,-5.0
2026-06-20 13:15:00+00:00,1.0,2.0,1.0,JC055,McGinley Square,2026-06-20,13,15,2026-06-20,-4.0
2026-06-20 13:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,13,30,2026-06-20,-4.0
2026-06-20 13:45:00+00:00,0.0,4.0,4.0,JC055,McGinley Square,2026-06-20,13,45,2026-06-20,0.0
2026-06-20 14:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,14,0,2026-06-20,0.0
2026-06-20 14:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,14,15,2026-06-20,0.0
2026-06-20 14:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,14,30,2026-06-20,0.0
2026-06-20 14:45:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-20,14,45,2026-06-20,0.0
2026-06-20 15:00:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-20,15,0,2026-06-20,1.0
2026-06-20 15:15:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-20,15,15,2026-06-20,-1.0
2026-06-20 15:30:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-20,15,30,2026-06-20,0.0
2026-06-20 15:45:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-20,15,45,2026-06-20,1.0
2026-06-20 16:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,16,0,2026-06-20,1.0
2026-06-20 16:15:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-20,16,15,2026-06-20,1.0
2026-06-20 16:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,16,30,2026-06-20,1.0
2026-06-20 16:45:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-20,16,45,2026-06-20,0.0
2026-06-20 17:00:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-20,17,0,2026-06-20,-2.0
2026-06-20 17:15:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-20,17,15,2026-06-20,-3.0
2026-06-20 17:30:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-20,17,30,2026-06-20,-3.0
2026-06-20 17:45:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-20,17,45,2026-06-20,-2.0
2026-06-20 18:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-20,18,0,2026-06-20,-3.0
2026-06-20 18:15:00+00:00,0.0,3.0,3.0,JC055,McGinley Square,2026-06-20,18,15,2026-06-20,0.0
2026-06-20 18:30:00+00:00,2.0,1.0,-1.0,JC055,McGinley Square,2026-06-20,18,30,2026-06-20,-1.0
2026-06-20 18:45:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-20,18,45,2026-06-20,-3.0
2026-06-20 19:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,19,0,2026-06-20,-3.0
2026-06-20 19:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,19,15,2026-06-20,-3.0
2026-06-20 19:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,19,30,2026-06-20,-3.0
2026-06-20 19:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,19,45,2026-06-20,-3.0
2026-06-20 20:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,20,0,2026-06-20,-3.0
2026-06-20 20:15:00+00:00,0.0,2.0,2.0,JC055,McGinley Square,2026-06-20,20,15,2026-06-20,-1.0
2026-06-20 20:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,20,30,2026-06-20,-1.0
2026-06-20 20:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,20,45,2026-06-20,-1.0
2026-06-20 21:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,21,0,2026-06-20,-1.0
2026-06-20 21:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,21,15,2026-06-20,-1.0
2026-06-20 21:30:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-20,21,30,2026-06-20,-3.0
2026-06-20 21:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,21,45,2026-06-20,-3.0
2026-06-20 22:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,22,0,2026-06-20,-3.0
2026-06-20 22:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,22,15,2026-06-20,-3.0
2026-06-20 22:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,22,30,2026-06-20,-3.0
2026-06-20 22:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,22,45,2026-06-20,-3.0
2026-06-20 23:00:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-20,23,0,2026-06-20,-2.0
2026-06-20 23:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,23,15,2026-06-20,-2.0
2026-06-20 23:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,23,30,2026-06-20,-2.0
2026-06-20 23:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-20,23,45,2026-06-20,-2.0
2026-06-21 00:00:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-21,0,0,2026-06-20,-1.0
2026-06-21 00:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,0,15,2026-06-20,-1.0
2026-06-21 00:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,0,30,2026-06-20,-1.0
2026-06-21 00:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,0,45,2026-06-20,-1.0
2026-06-21 01:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-21,1,0,2026-06-20,-2.0
2026-06-21 01:15:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-21,1,15,2026-06-20,-3.0
2026-06-21 01:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,1,30,2026-06-20,-3.0
2026-06-21 01:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,1,45,2026-06-20,-3.0
2026-06-21 02:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,2,0,2026-06-20,-3.0
2026-06-21 02:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,2,15,2026-06-20,-3.0
2026-06-21 02:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,2,30,2026-06-20,-3.0
2026-06-21 02:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,2,45,2026-06-20,-3.0
2026-06-21 03:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,3,0,2026-06-20,-3.0
2026-06-21 03:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,3,15,2026-06-20,-3.0
2026-06-21 03:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,3,30,2026-06-20,-3.0
2026-06-21 03:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,3,45,2026-06-20,-3.0
2026-06-21 04:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-21,4,0,2026-06-20,-4.0
2026-06-21 04:15:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-21,4,15,2026-06-20,-5.0
2026-06-21 04:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,4,30,2026-06-20,-5.0
2026-06-21 04:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,4,45,2026-06-20,-5.0
2026-06-21 05:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,5,0,2026-06-21,0.0
2026-06-21 05:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,5,15,2026-06-21,0.0
2026-06-21 05:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,5,30,2026-06-21,0.0
2026-06-21 05:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,5,45,2026-06-21,0.0
2026-06-21 06:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,6,0,2026-06-21,0.0
2026-06-21 06:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,6,15,2026-06-21,0.0
2026-06-21 06:30:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-21,6,30,2026-06-21,1.0
2026-06-21 06:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,6,45,2026-06-21,1.0
2026-06-21 07:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,7,0,2026-06-21,1.0
